sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,130,Abhay Ramchandra Prabhu,https://myneta.info/goa2017/candidate.php?candidate_id=130,SIRODA,Maharashtrawadi Gomantak,0,Graduate,"Rs 7,94,13,998 ~ 7 Crore+","Rs 2,15,11,059 ~ 2 Crore+"
2,208,Abhijit Dhargalkar,https://myneta.info/goa2017/candidate.php?candidate_id=208,SIOLIM,NCP,1,12th Pass,"Rs 2,72,94,900 ~ 2 Crore+","Rs 80,60,000 ~ 80 Lacs+"
3,200,Agnelo Nicholas Fernandes,https://myneta.info/goa2017/candidate.php?candidate_id=200,SALIGAO,INC,0,Post Graduate,"Rs 17,87,67,510 ~ 17 Crore+","Rs 19,40,70,238 ~ 19 Crore+"
4,275,Ajit Sadanand Mhalshekar,https://myneta.info/goa2017/candidate.php?candidate_id=275,PORIEM,IND,0,10th Pass,"Rs 3,87,72,313 ~ 3 Crore+",Rs 0 ~
5,270,Ajitasing Vamanarao Rane Saradesai,https://myneta.info/goa2017/candidate.php?candidate_id=270,MAEM,AAP,2,Post Graduate,"Rs 83,52,400 ~ 83 Lacs+","Rs 40,93,000 ~ 40 Lacs+"
6,47,Aleixo Reginaldo Lourenco,https://myneta.info/goa2017/candidate.php?candidate_id=47,CURTORIM,INC,0,10th Pass,"Rs 5,17,50,599 ~ 5 Crore+","Rs 17,28,663 ~ 17 Lacs+"
7,107,Alina Saldanha,https://myneta.info/goa2017/candidate.php?candidate_id=107,CORTALIM,BJP,0,Graduate Professional,"Rs 4,12,42,590 ~ 4 Crore+",Rs 0 ~
8,83,Amarnath Panjikar,https://myneta.info/goa2017/candidate.php?candidate_id=83,ALDONA,INC,0,Post Graduate,"Rs 5,82,36,239 ~ 5 Crore+",Rs 0 ~
9,243,Anandrao Narayanrao Nagvenkar,https://myneta.info/goa2017/candidate.php?candidate_id=243,ALDONA,IND,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=goa2017&candidate_id=243&col=ta,https://myneta.info/image_v2.php?myneta_folder=goa2017&candidate_id=243&col=lia
10,253,Anthony Rodrigues,https://myneta.info/goa2017/candidate.php?candidate_id=253,VELIM,Goa Forward Party,0,8th Pass,"Rs 88,10,415 ~ 88 Lacs+",Rs 0 ~
11,279,Antonio Caetano Fernandes,https://myneta.info/goa2017/candidate.php?candidate_id=279,ST. CRUZ,INC,0,10th Pass,"Rs 7,02,85,619 ~ 7 Crore+","Rs 3,74,57,787 ~ 3 Crore+"
12,139,Antonio Vas,https://myneta.info/goa2017/candidate.php?candidate_id=139,CORTALIM,IND,0,10th Pass,"Rs 3,39,67,226 ~ 3 Crore+","Rs 35,60,727 ~ 35 Lacs+"
13,217,Arthur Dsilva,https://myneta.info/goa2017/candidate.php?candidate_id=217,CURTORIM,BJP,1,12th Pass,"Rs 12,27,49,977 ~ 12 Crore+","Rs 3,65,54,415 ~ 3 Crore+"
14,96,Ashish V. Kanekar,https://myneta.info/goa2017/candidate.php?candidate_id=96,VALPOI,AAP,0,Others,"Rs 1,40,54,898 ~ 1 Crore+","Rs 87,32,466 ~ 87 Lacs+"
15,274,Ashok Anant Gaonkar,https://myneta.info/goa2017/candidate.php?candidate_id=274,MAEM,IND,0,Others,"Rs 38,78,296 ~ 38 Lacs+",Rs 0 ~
16,284,Ashwin Menino Rosario,https://myneta.info/goa2017/candidate.php?candidate_id=284,ST. ANDRE,IND,0,12th Pass,"Rs 36,597 ~ 36 Thou+","Rs 27,832 ~ 27 Thou+"
17,124,Atanasio J. Monserrate,https://myneta.info/goa2017/candidate.php?candidate_id=124,PANAJI,United Goans Party,1,12th Pass,"Rs 30,81,18,480 ~ 30 Crore+","Rs 6,92,21,694 ~ 6 Crore+"
18,129,Atmaram Vaman Gaonker,https://myneta.info/goa2017/candidate.php?candidate_id=129,MAEM,Goa Suraksha Manch,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=goa2017&candidate_id=129&col=ta,https://myneta.info/image_v2.php?myneta_folder=goa2017&candidate_id=129&col=lia
19,69,Avertano Furtado,https://myneta.info/goa2017/candidate.php?candidate_id=69,NAVELIM,IND,0,10th Pass,"Rs 1,59,17,565 ~ 1 Crore+","Rs 16,02,624 ~ 16 Lacs+"
20,52,Avin Vishwanath Naik,https://myneta.info/goa2017/candidate.php?candidate_id=52,FATORDA,IND,1,Graduate,"Rs 64,72,150 ~ 64 Lacs+","Rs 18,27,599 ~ 18 Lacs+"
21,235,Balkrishna Ramnath Marathe,https://myneta.info/goa2017/candidate.php?candidate_id=235,SANVORDEM,IND,0,Post Graduate,"Rs 38,11,000 ~ 38 Lacs+","Rs 4,85,000 ~ 4 Lacs+"
22,241,Benjamin Silva,https://myneta.info/goa2017/candidate.php?candidate_id=241,VELIM,IND,0,10th Pass,"Rs 6,38,23,552 ~ 6 Crore+","Rs 2,82,47,380 ~ 2 Crore+"
23,164,Bhim Raghuvir Pednekar,https://myneta.info/goa2017/candidate.php?candidate_id=164,MANDREM,Bahujan Mukti Party,0,10th Pass,"Rs 16,89,282 ~ 16 Lacs+",Rs 0 ~
24,157,Caetano Rosario Silva,https://myneta.info/goa2017/candidate.php?candidate_id=157,BENAULIM,IND,0,5th Pass,"Rs 4,17,34,771 ~ 4 Crore+","Rs 6,23,025 ~ 6 Lacs+"
25,58,Carlito Edrich Correia,https://myneta.info/goa2017/candidate.php?candidate_id=58,VELIM,IND,0,12th Pass,"Rs 1,67,54,879 ~ 1 Crore+",Rs 0 ~
26,213,Cecille Rodrigues,https://myneta.info/goa2017/candidate.php?candidate_id=213,TALEIGAO,AAP,0,Graduate,"Rs 51,48,725 ~ 51 Lacs+","Rs 23,18,340 ~ 23 Lacs+"
27,143,Chandrakant Kavlekar,https://myneta.info/goa2017/candidate.php?candidate_id=143,QUEPEM,INC,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=goa2017&candidate_id=143&col=ta,https://myneta.info/image_v2.php?myneta_folder=goa2017&candidate_id=143&col=lia
28,238,Chandrashekher Vast,https://myneta.info/goa2017/candidate.php?candidate_id=238,VASCO-DA-GAMA,Niz Goenkar Revolution Front,0,8th Pass,"Rs 17,90,319 ~ 17 Lacs+",Rs 0 ~
29,230,Charles Dsilva,https://myneta.info/goa2017/candidate.php?candidate_id=230,QUEPEM,Goa Su-Raj Party,0,Graduate,"Rs 82,57,041 ~ 82 Lacs+","Rs 11,28,995 ~ 11 Lacs+"
30,216,Churchill Alemao,https://myneta.info/goa2017/candidate.php?candidate_id=216,BENAULIM,NCP,1,Others,"Rs 13,06,12,260 ~ 13 Crore+","Rs 3,61,06,008 ~ 3 Crore+"
31,57,Clafasio Dias,https://myneta.info/goa2017/candidate.php?candidate_id=57,CUNCOLIM,INC,1,10th Pass,"Rs 7,89,21,029 ~ 7 Crore+","Rs 28,27,773 ~ 28 Lacs+"
32,242,Cliffton Dsouza,https://myneta.info/goa2017/candidate.php?candidate_id=242,VELIM,Ambedkarite Party of India,0,10th Pass,"Rs 1,34,000 ~ 1 Lacs+",Rs 0 ~
33,218,Conceicao Dias,https://myneta.info/goa2017/candidate.php?candidate_id=218,CURTORIM,Maharashtrawadi Gomantak,0,8th Pass,"Rs 19,86,747 ~ 19 Lacs+",Rs 0 ~
34,254,Constancio Fernandes,https://myneta.info/goa2017/candidate.php?candidate_id=254,VELIM,IND,0,Graduate,"Rs 1,71,19,287 ~ 1 Crore+","Rs 26,18,072 ~ 26 Lacs+"
35,173,Cruz Antonio Jorge Barretto,https://myneta.info/goa2017/candidate.php?candidate_id=173,NAVELIM,Goa Vikas Party,0,8th Pass,"Rs 74,47,614 ~ 74 Lacs+","Rs 12,00,000 ~ 12 Lacs+"
36,180,Cruz Silva,https://myneta.info/goa2017/candidate.php?candidate_id=180,VELIM,AAP,0,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=goa2017&candidate_id=180&col=ta,https://myneta.info/image_v2.php?myneta_folder=goa2017&candidate_id=180&col=lia
37,4,Damodar Gajanan Naik,https://myneta.info/goa2017/candidate.php?candidate_id=4,FATORDA,BJP,0,Graduate,"Rs 3,06,52,822 ~ 3 Crore+","Rs 7,87,814 ~ 7 Lacs+"
38,7,Dattaprasad Naik,https://myneta.info/goa2017/candidate.php?candidate_id=7,TALEIGAO,BJP,0,12th Pass,"Rs 10,94,06,582 ~ 10 Crore+","Rs 68,45,809 ~ 68 Lacs+"
39,70,Dattaprasad Sawardekar,https://myneta.info/goa2017/candidate.php?candidate_id=70,SANGUEM,IND,0,12th Pass,"Rs 2,12,62,644 ~ 2 Crore+","Rs 15,00,000 ~ 15 Lacs+"
40,151,Dattaram Naguesh Chari,https://myneta.info/goa2017/candidate.php?candidate_id=151,ST. ANDRE,NCP,0,10th Pass,"Rs 1,92,96,461 ~ 1 Crore+","Rs 7,46,078 ~ 7 Lacs+"
41,26,Dattatraya Vittal Padgaonkar,https://myneta.info/goa2017/candidate.php?candidate_id=26,SALIGAO,AAP,0,Graduate,"Rs 1,82,10,436 ~ 1 Crore+",Rs 0 ~
