sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,4347,	Kochara Jagdishbhai Kanjibhai,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4347,ANJAR,BSP,0,Graduate Professional,"Rs 8,26,000 ~ 8 Lacs+",Rs 0 ~
2,4150,Aahir Manubhai Mayabhai,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4150,LIMBAYAT,BSP,0,12th Pass,"Rs 90,49,000 ~ 90 Lacs+",Rs 0 ~
3,5185,Aakashbhai Chhotabhai Hirvani	,https://myneta.info/Gujarat2017/candidate.php?candidate_id=5185,SAVLI,BSP,0,12th Pass,"Rs 2,19,900 ~ 2 Lacs+",Rs 0 ~
4,3916,Aarethiya Santokben Bhachubhai,https://myneta.info/Gujarat2017/candidate.php?candidate_id=3916,RAPAR,INC,0,Illiterate,"Rs 82,02,67,696 ~ 82 Crore+","Rs 19,95,68,877 ~ 19 Crore+"
5,4069,Aarya Indravadan Bhimsinh,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4069,JAMBUSAR,IND,0,Not Given,"Rs 37,25,000 ~ 37 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
6,4317,Abbaji Dhyanu Jadav,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4317,PARDI,SHS,0,Literate,"Rs 15,15,000 ~ 15 Lacs+","Rs 31,00,000 ~ 31 Lacs+"
7,3647,Acharya Dr.nimaben Bhaveshbhai,https://myneta.info/Gujarat2017/candidate.php?candidate_id=3647,BHUJ,BJP,1,Post Graduate,"Rs 34,74,18,010 ~ 34 Crore+","Rs 10,74,16,776 ~ 10 Crore+"
8,4967,Acharya Keyur Chimanbhai,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4967,GANDHINAGAR SOUTH,Bahujan Mukti Party,0,10th Pass,"Rs 62,000 ~ 62 Thou+",Rs 0 ~
9,4732,Adiyesha Rutil,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4732,AMRELI,IND,0,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Gujarat2017&candidate_id=4732&col=ta,https://myneta.info/image_v2.php?myneta_folder=Gujarat2017&candidate_id=4732&col=lia
10,4319,Advocate Purva Pradip Gajare,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4319,PARDI,IND,0,Graduate Professional,"Rs 27,02,000 ~ 27 Lacs+","Rs 9,85,000 ~ 9 Lacs+"
11,5551,Aftabahmed Saradarahmed Saiyed,https://myneta.info/Gujarat2017/candidate.php?candidate_id=5551,JAMALPUR - KHADIA,IND,0,Graduate,"Rs 30,00,000 ~ 30 Lacs+","Rs 2,70,000 ~ 2 Lacs+"
12,4714,Agavan Sadik Karim,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4714,VISAVADAR,IND,0,8th Pass,"Rs 5,05,125 ~ 5 Lacs+",Rs 0 ~
13,5501,Ahir (bharwad) Jethabhai Ghelabhai,https://myneta.info/Gujarat2017/candidate.php?candidate_id=5501,SHEHRA,BJP,1,Graduate,"Rs 6,71,32,165 ~ 6 Crore+","Rs 79,31,564 ~ 79 Lacs+"
14,3981,Ahir Meraman Markhi,https://myneta.info/Gujarat2017/candidate.php?candidate_id=3981,DWARKA,INC,2,8th Pass,"Rs 91,44,010 ~ 91 Lacs+","Rs 2,07,000 ~ 2 Lacs+"
15,3637,Ahir Vasanbhai Gopalbhai,https://myneta.info/Gujarat2017/candidate.php?candidate_id=3637,ANJAR,BJP,0,5th Pass,"Rs 3,15,27,120 ~ 3 Crore+","Rs 2,50,000 ~ 2 Lacs+"
16,4566,Ajaybhai Gomanbhai Vasava,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4566,ANKLESHWAR,IND,0,12th Pass,"Rs 4,36,410 ~ 4 Lacs+",Rs 0 ~
17,3660,Ajitbhai Devabhai Khorani,https://myneta.info/Gujarat2017/candidate.php?candidate_id=3660,CHOTILA,BSP,0,5th Pass,"Rs 56,000 ~ 56 Thou+",Rs 0 ~
18,4242,Ajitbhai Ghushabhai Lokhil,https://myneta.info/Gujarat2017/candidate.php?candidate_id=4242,RAJKOT EAST,AAP,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Gujarat2017&candidate_id=4242&col=ta,https://myneta.info/image_v2.php?myneta_folder=Gujarat2017&candidate_id=4242&col=lia
19,5049,Ajitsinh Parvatsinh Chauhan,https://myneta.info/Gujarat2017/candidate.php?candidate_id=5049,BALASINOR,INC,1,Graduate Professional,"Rs 58,27,500 ~ 58 Lacs+","Rs 4,50,000 ~ 4 Lacs+"
20,3782,Ajmeri Sulemanbhai Hasanbhai,https://myneta.info/Gujarat2017/candidate.php?candidate_id=3782,GARIADHAR,IND,1,5th Pass,"Rs 74,00,000 ~ 74 Lacs+",Rs 0 ~
21,5344,Akshay Kumar Iswarbhai Patel,https://myneta.info/Gujarat2017/candidate.php?candidate_id=5344,KARJAN,INC,0,10th Pass,"Rs 2,04,23,594 ~ 2 Crore+","Rs 13,04,795 ~ 13 Lacs+"
22,5482,Alpesh Khodaji Thakor,https://myneta.info/Gujarat2017/candidate.php?candidate_id=5482,RADHANPUR,INC,0,12th Pass,"Rs 1,30,88,660 ~ 1 Crore+","Rs 4,60,000 ~ 4 Lacs+"
23,3693,Alpesh Vallabhbhai Vadoliya,https://myneta.info/Gujarat2017/candidate.php?candidate_id=3693,JETPUR,IND,0,Graduate,"Rs 1,41,210 ~ 1 Lacs+",Rs 0 ~
