sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,3059,Aditya Vikram Singh,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3059,BANJAR,INC,0,Post Graduate,"Rs 4,34,24,987 ~ 4 Crore+",Rs 0 ~
2,3092,Ajay Bhatti,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3092,SOLAN,CPI(M),2,Post Graduate,"Rs 11,000 ~ 11 Thou+",Rs 0 ~
3,3209,Ajay Mahajan,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3209,NURPUR,INC,0,Graduate,"Rs 5,41,66,574 ~ 5 Crore+","Rs 1,07,55,974 ~ 1 Crore+"
4,3213,Ajay Solanki,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3213,NAHAN,INC,0,12th Pass,"Rs 60,69,512 ~ 60 Lacs+",Rs 0 ~
5,3338,Amar Singh,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3338,BILASPUR,Lok Gathbandhan Party,0,Graduate,"Rs 12,46,883 ~ 12 Lacs+","Rs 8,34,000 ~ 8 Lacs+"
6,3153,Amit Kumar,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3153,JASWAN-PRAGPUR,IND,0,12th Pass,"Rs 5,75,000 ~ 5 Lacs+","Rs 80,000 ~ 80 Thou+"
7,3308,Anil Kumar Mankotia,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3308,HAMIRPUR,CPI(M),2,Graduate,"Rs 5,75,000 ~ 5 Lacs+",Rs 0 ~
8,3289,Anil Sharma,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3289,MANDI,BJP,1,12th Pass,"Rs 40,24,82,216 ~ 40 Crore+","Rs 2,09,44,395 ~ 2 Crore+"
9,3189,Anirudh Singh,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3189,KASUMPTI,INC,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=HimachalPradesh2017&candidate_id=3189&col=ta,https://myneta.info/image_v2.php?myneta_folder=HimachalPradesh2017&candidate_id=3189&col=lia
10,3274,Anita Alias Nitu,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3274,KARSOG,IND,1,12th Pass,"Rs 97,55,000 ~ 97 Lacs+","Rs 95,000 ~ 95 Thou+"
11,3257,Anup Dhiman,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3257,DHARAMSHALA,IND,0,Others,"Rs 87,30,000 ~ 87 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
12,3155,Anup Kumar,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3155,JASWAN-PRAGPUR,IND,0,12th Pass,"Rs 11,50,000 ~ 11 Lacs+",Rs 0 ~
13,3398,Arjun Singh,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3398,JAWALI,BJP,0,Post Graduate,"Rs 3,88,71,330 ~ 3 Crore+",Rs 0 ~
14,3207,Arun Kumar,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3207,NAGROTA,BJP,0,10th Pass,"Rs 91,29,606 ~ 91 Lacs+",Rs 0 ~
15,3221,Asha Kumari,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3221,DALHOUSIE,INC,1,Graduate,"Rs 4,53,10,570 ~ 4 Crore+","Rs 60,66,090 ~ 60 Lacs+"
16,3408,Ashish Butail,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3408,PALAMPUR,INC,0,Graduate,"Rs 21,39,89,007 ~ 21 Crore+","Rs 3,45,92,831 ~ 3 Crore+"
17,3304,Ashish Kumar,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3304,HAMIRPUR,IND,0,Graduate Professional,"Rs 10,500 ~ 10 Thou+",Rs 0 ~
18,3256,Ashwani Kajal,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3256,DHARAMSHALA,Bahujan Mukti Party,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=HimachalPradesh2017&candidate_id=3256&col=ta,https://myneta.info/image_v2.php?myneta_folder=HimachalPradesh2017&candidate_id=3256&col=lia
19,3172,Baini Parshad,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3172,PALAMPUR,IND,1,Post Graduate,"Rs 1,74,32,768 ~ 1 Crore+","Rs 12,00,000 ~ 12 Lacs+"
20,3396,Bal Krishan Chauhan,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3396,CHAMBA,IND,1,Post Graduate,"Rs 1,80,61,322 ~ 1 Crore+",Rs 0 ~
21,3409,Bal Mukund,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3409,PALAMPUR,BSP,0,5th Pass,"Rs 52,20,000 ~ 52 Lacs+","Rs 10,29,000 ~ 10 Lacs+"
22,3430,Balak Ram Sharma,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3430,SRI NAINA DEVIJI,All India Forward Bloc,0,12th Pass,"Rs 60,42,543 ~ 60 Lacs+","Rs 12,14,000 ~ 12 Lacs+"
23,3085,Balbir Singh,https://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3085,SRI RENUKAJI,BJP,0,Post Graduate,"Rs 78,15,428 ~ 78 Lacs+","Rs 3,30,812 ~ 3 Lacs+"
