sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,82,A. Angousana,https://myneta.info/manipur2012/candidate.php?candidate_id=82,KUMBI,MPP,0,Post Graduate,"Rs 7,00,000 ~ 7 Lacs+",Rs 0 ~
2,149,A. Biren,https://myneta.info/manipur2012/candidate.php?candidate_id=149,JIRIBAM,AITC,0,Graduate Professional,"Rs 11,00,000 ~ 11 Lacs+","Rs 1,45,000 ~ 1 Lacs+"
3,13,A. Lala,https://myneta.info/manipur2012/candidate.php?candidate_id=13,KSHETRIGAO,CPI,0,Not Given,"Rs 13,21,000 ~ 13 Lacs+",Rs 0 ~
4,42,A. Oken Singh,https://myneta.info/manipur2012/candidate.php?candidate_id=42,SEKMAI(SC),CPI,0,Graduate,"Rs 38,64,187 ~ 38 Lacs+",Rs 0 ~
5,271,Adim Panmei,https://myneta.info/manipur2012/candidate.php?candidate_id=271,NUNGBA(ST),MSCP,0,10th Pass,"Rs 7,80,000 ~ 7 Lacs+",Rs 0 ~
6,220,Ak. Manglemjao Singh,https://myneta.info/manipur2012/candidate.php?candidate_id=220,THOUBAL,AITC,0,Doctorate,"Rs 1,00,10,000 ~ 1 Crore+","Rs 1,00,960 ~ 1 Lacs+"
7,54,Akoijam. Mirabai Devi,https://myneta.info/manipur2012/candidate.php?candidate_id=54,PATSOI,INC,0,Graduate Professional,"Rs 14,40,000 ~ 14 Lacs+",Rs 0 ~
8,24,Alauddin Khan,https://myneta.info/manipur2012/candidate.php?candidate_id=24,KEIRAO,INC,0,Graduate,"Rs 15,51,000 ~ 15 Lacs+",Rs 0 ~
9,114,Aleng A.s. Shimray,https://myneta.info/manipur2012/candidate.php?candidate_id=114,UKHRUL,NCP,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=manipur2012&candidate_id=114&col=ta,https://myneta.info/image_v2.php?myneta_folder=manipur2012&candidate_id=114&col=lia
10,255,Aleng Shimrah,https://myneta.info/manipur2012/candidate.php?candidate_id=255,UKHRUL,MSCP,0,Graduate,"Rs 49,74,577 ~ 49 Lacs+",Rs 0 ~
11,115,Alfred Kan-ngam Arthur,https://myneta.info/manipur2012/candidate.php?candidate_id=115,UKHRUL,INC,0,12th Pass,"Rs 7,88,20,000 ~ 7 Crore+",Rs 0 ~
12,27,Alhaj Md. Ahmed Ali,https://myneta.info/manipur2012/candidate.php?candidate_id=27,ANDRO,INC,2,Graduate,"Rs 21,74,900 ~ 21 Lacs+",Rs 0 ~
13,226,Arambam Birendra Singh,https://myneta.info/manipur2012/candidate.php?candidate_id=226,LANGTHABAL,AITC,0,Graduate Professional,"Rs 23,58,862 ~ 23 Lacs+",Rs 0 ~
14,101,Ashokumar Laiphrakpam,https://myneta.info/manipur2012/candidate.php?candidate_id=101,HIYANGLAM,BJP,0,Post Graduate,"Rs 90,000 ~ 90 Thou+",Rs 0 ~
15,247,Athikho Solomon Enah,https://myneta.info/manipur2012/candidate.php?candidate_id=247,TADUBI(ST),AITC,0,Graduate,"Rs 75,48,104 ~ 75 Lacs+",Rs 0 ~
16,176,Athuan Abomnai,https://myneta.info/manipur2012/candidate.php?candidate_id=176,TAMEI(ST),NPF,0,Graduate,"Rs 11,10,000 ~ 11 Lacs+",Rs 0 ~
17,177,Awaogbow Newmai,https://myneta.info/manipur2012/candidate.php?candidate_id=177,TAMEI(ST),MSCP,0,Post Graduate,"Rs 4,60,000 ~ 4 Lacs+","Rs 6,89,200 ~ 6 Lacs+"
18,264,Bhumi Prasad Basnet,https://myneta.info/manipur2012/candidate.php?candidate_id=264,KANGPOKPI,IND,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=manipur2012&candidate_id=264&col=ta,https://myneta.info/image_v2.php?myneta_folder=manipur2012&candidate_id=264&col=lia
19,18,Bijoy Koijam,https://myneta.info/manipur2012/candidate.php?candidate_id=18,THONJU,INC,0,10th Pass,"Rs 88,13,267 ~ 88 Lacs+","Rs 6,89,200 ~ 6 Lacs+"
20,251,Bountia Keishing,https://myneta.info/manipur2012/candidate.php?candidate_id=251,PHUNGYAR(ST),MSCP,0,12th Pass,"Rs 5,50,000 ~ 5 Lacs+",Rs 0 ~
21,230,Burhanuddin,https://myneta.info/manipur2012/candidate.php?candidate_id=230,LILONG,IND,0,Others,"Rs 3,80,174 ~ 3 Lacs+",Rs 0 ~
