sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,124,A. Baskar,https://myneta.info/Puducherry2011/candidate.php?candidate_id=124,MUDALIARPET,AIADMK,1,5th Pass,"Rs 4,22,53,243 ~ 4 Crore+","Rs 1,38,78,544 ~ 1 Crore+"
2,24,A. Elumalai,https://myneta.info/Puducherry2011/candidate.php?candidate_id=24,OUSSUDU,DMK,0,8th Pass,"Rs 1,06,96,203 ~ 1 Crore+","Rs 52,40,085 ~ 52 Lacs+"
3,173,A. Geetha,https://myneta.info/Puducherry2011/candidate.php?candidate_id=173,NERAVY T.R. PATTINAM,DMK,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Puducherry2011&candidate_id=173&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2011&candidate_id=173&col=lia
4,61,A. Ilango,https://myneta.info/Puducherry2011/candidate.php?candidate_id=61,THATTANCHAVADY,DMK,0,10th Pass,"Rs 55,83,100 ~ 55 Lacs+","Rs 19,33,000 ~ 19 Lacs+"
5,47,A. Johnkumar,https://myneta.info/Puducherry2011/candidate.php?candidate_id=47,OZHUKARAI,DMK,0,Illiterate,"Rs 12,13,68,720 ~ 12 Crore+","Rs 4,09,40,764 ~ 4 Crore+"
6,157,A. Marimuthu,https://myneta.info/Puducherry2011/candidate.php?candidate_id=157,NEDUNGADU ,IND,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Puducherry2011&candidate_id=157&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2011&candidate_id=157&col=lia
7,51,A. N. Balane,https://myneta.info/Puducherry2011/candidate.php?candidate_id=51,OZHUKARAI,IND,0,Graduate,"Rs 9,47,94,718 ~ 9 Crore+","Rs 1,64,20,936 ~ 1 Crore+"
8,82,A. Paramasivam,https://myneta.info/Puducherry2011/candidate.php?candidate_id=82,MUTHIALPET,IND,0,8th Pass,"Rs 2,06,98,400 ~ 2 Crore+",Rs 0 ~
9,25,A. Selvalatchoumy,https://myneta.info/Puducherry2011/candidate.php?candidate_id=25,OUSSUDU,BSP,0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Puducherry2011&candidate_id=25&col=ta,https://myneta.info/image_v2.php?myneta_folder=Puducherry2011&candidate_id=25&col=lia
10,146,A. Viswamohan,https://myneta.info/Puducherry2011/candidate.php?candidate_id=146,NETTAPAKKAM ,BJP,0,5th Pass,"Rs 1,88,000 ~ 1 Lacs+",Rs 0 ~
11,105,A.Anbalagan,https://myneta.info/Puducherry2011/candidate.php?candidate_id=105,OUPALAM,AIADMK,2,10th Pass,"Rs 3,71,33,981 ~ 3 Crore+","Rs 25,33,519 ~ 25 Lacs+"
