sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,96,Deep Malhotra,https://myneta.info/pb2012/candidate.php?candidate_id=96,FARIDKOT,SAD,0,12th Pass,"Rs 17,26,97,791 ~ 17 Crore+","Rs 3,28,82,176 ~ 3 Crore+"
2,160,Sh. Navtej Singh,https://myneta.info/pb2012/candidate.php?candidate_id=160,SULTANPUR LODHI,INC,0,Graduate,"Rs 2,44,61,440 ~ 2 Crore+","Rs 34,99,088 ~ 34 Lacs+"
3,702,Abdul Rahiman,https://myneta.info/pb2012/candidate.php?candidate_id=702,LUDHIANA WEST,IND,0,Others,"Rs 14,16,100 ~ 14 Lacs+",Rs 0 ~
4,251,Abhay Singh Sandhu,https://myneta.info/pb2012/candidate.php?candidate_id=251,NAWAN SHAHR,PPOP,0,Graduate,"Rs 7,03,22,000 ~ 7 Crore+","Rs 22,880 ~ 22 Thou+"
5,622,Achal Singla,https://myneta.info/pb2012/candidate.php?candidate_id=622,S.A.S. NAGAR,IND,0,12th Pass,"Rs 18,05,000 ~ 18 Lacs+",Rs 0 ~
6,53,Adesh Partap Singh,https://myneta.info/pb2012/candidate.php?candidate_id=53,PATTI ,SAD,0,Post Graduate,"Rs 51,23,00,000 ~ 51 Crore+","Rs 2,56,48,000 ~ 2 Crore+"
7,291,Advocate Surjeet Singh Sohi,https://myneta.info/pb2012/candidate.php?candidate_id=291,BATHINDA RURAL (SC),CPI,0,Graduate Professional,"Rs 26,98,243 ~ 26 Lacs+","Rs 1,60,000 ~ 1 Lacs+"
8,763,Agya Rani,https://myneta.info/pb2012/candidate.php?candidate_id=763,JALALABAD ,IND,0,10th Pass,"Rs 5,11,82,740 ~ 5 Crore+","Rs 59,37,938 ~ 59 Lacs+"
9,229,Ajaib Singh,https://myneta.info/pb2012/candidate.php?candidate_id=229,DIRBA (SC),INC,0,10th Pass,https://myneta.info/image_v2.php?myneta_folder=pb2012&candidate_id=229&col=ta,https://myneta.info/image_v2.php?myneta_folder=pb2012&candidate_id=229&col=lia
10,863,Ajaib Singh,https://myneta.info/pb2012/candidate.php?candidate_id=863,TALWANDI SABO,IND,0,8th Pass,"Rs 80,83,00,000 ~ 80 Crore+",Rs 0 ~
11,1063,Ajaib Singh,https://myneta.info/pb2012/candidate.php?candidate_id=1063,ANANDPUR SAHIB,BGTD,0,10th Pass,"Rs 13,80,000 ~ 13 Lacs+",Rs 0 ~
12,845,Ajaib Singh,https://myneta.info/pb2012/candidate.php?candidate_id=845,BHUCHO MANDI (SC),NCP,0,Illiterate,"Rs 5,500 ~ 5 Thou+",Rs 0 ~
13,222,Ajaib Singh,https://myneta.info/pb2012/candidate.php?candidate_id=222,BHUCHO MANDI (SC),INC,0,Post Graduate,"Rs 3,53,64,372 ~ 3 Crore+","Rs 19,26,314 ~ 19 Lacs+"
14,361,Ajaib Singh,https://myneta.info/pb2012/candidate.php?candidate_id=361,CHABBEWAL (SC),PPOP,0,Others,"Rs 1,44,04,217 ~ 1 Crore+",Rs 0 ~
15,1012,Ajaib Singh,https://myneta.info/pb2012/candidate.php?candidate_id=1012,SHAHKOT,IND,0,Not Given,"Rs 83,27,010 ~ 83 Lacs+",Rs 0 ~
16,567,Ajay Kumar,https://myneta.info/pb2012/candidate.php?candidate_id=567,KHEM KARAN,IND,0,12th Pass,"Rs 5,54,910 ~ 5 Lacs+",Rs 0 ~
17,697,Ajay Nayyar,https://myneta.info/pb2012/candidate.php?candidate_id=697,LUDHIANA CENTRAL,IND,0,12th Pass,"Rs 67,13,081 ~ 67 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
18,953,Ajay Singh,https://myneta.info/pb2012/candidate.php?candidate_id=953,PATIALA RURAL,NCP,0,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=pb2012&candidate_id=953&col=ta,https://myneta.info/image_v2.php?myneta_folder=pb2012&candidate_id=953&col=lia
19,1000,Ajinderpal Singh,https://myneta.info/pb2012/candidate.php?candidate_id=1000,SHUTRANA (SC),IND,0,Graduate Professional,"Rs 1,26,33,610 ~ 1 Crore+","Rs 2,00,000 ~ 2 Lacs+"
20,226,Ajit Inder Singh,https://myneta.info/pb2012/candidate.php?candidate_id=226,SARDULGARH,INC,0,12th Pass,"Rs 3,34,39,728 ~ 3 Crore+","Rs 77,408 ~ 77 Thou+"
21,630,Ajit Kumar,https://myneta.info/pb2012/candidate.php?candidate_id=630,FATEHGARH SAHIB,IND,0,10th Pass,"Rs 1,00,20,000 ~ 1 Crore+","Rs 21,50,000 ~ 21 Lacs+"
22,173,Ajit Kumar Narang,https://myneta.info/pb2012/candidate.php?candidate_id=173,MUKERIAN,INC,0,Graduate,"Rs 12,71,20,203 ~ 12 Crore+","Rs 5,49,80,564 ~ 5 Crore+"
23,591,Ajit Singh,https://myneta.info/pb2012/candidate.php?candidate_id=591,SULTANPUR LODHI,SAD(A)(Simranjit Singh Mann),0,Illiterate,"Rs 35,50,000 ~ 35 Lacs+",Rs 0 ~
24,428,Ajit Singh Bhaini,https://myneta.info/pb2012/candidate.php?candidate_id=428,RUPNAGAR,BSP,0,10th Pass,"Rs 49,95,038 ~ 49 Lacs+",Rs 0 ~
25,273,Ajit Singh Chandu,https://myneta.info/pb2012/candidate.php?candidate_id=273,AMARGARH,PPOP,0,Post Graduate,"Rs 1,78,00,000 ~ 1 Crore+","Rs 9,00,000 ~ 9 Lacs+"
26,341,Ajit Singh Khurana,https://myneta.info/pb2012/candidate.php?candidate_id=341,ATAM NAGAR,PPOP,0,10th Pass,"Rs 4,53,44,942 ~ 4 Crore+","Rs 16,39,166 ~ 16 Lacs+"
27,60,Ajit Singh Kohar,https://myneta.info/pb2012/candidate.php?candidate_id=60,SHAHKOT,SAD,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=pb2012&candidate_id=60&col=ta,https://myneta.info/image_v2.php?myneta_folder=pb2012&candidate_id=60&col=lia
28,203,Ajit Singh Shant,https://myneta.info/pb2012/candidate.php?candidate_id=203,NIHAL SINGHWALA (SC),INC,0,Post Graduate,"Rs 49,24,475 ~ 49 Lacs+","Rs 5,28,128 ~ 5 Lacs+"
29,918,Alam,https://myneta.info/pb2012/candidate.php?candidate_id=918,MALERKOTLA,IND,0,Graduate Professional,"Rs 2,42,202 ~ 2 Lacs+",Rs 0 ~
30,813,Alwinder Singh,https://myneta.info/pb2012/candidate.php?candidate_id=813,MUKTSAR,IND,0,Not Given,Nil,Rs 0 ~
31,894,Amandeep,https://myneta.info/pb2012/candidate.php?candidate_id=894,SUNAM,IND,0,Graduate,"Rs 39,88,000 ~ 39 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
32,895,Amandeep Singh,https://myneta.info/pb2012/candidate.php?candidate_id=895,SUNAM,IND,0,Graduate,"Rs 1,50,75,000 ~ 1 Crore+",Rs 0 ~
33,271,Amanpreet Singh Cheena,https://myneta.info/pb2012/candidate.php?candidate_id=271,RAJA SANSI,PPOP,0,Post Graduate,"Rs 78,51,360 ~ 78 Lacs+",Rs 0 ~
34,932,Amar Singh,https://myneta.info/pb2012/candidate.php?candidate_id=932,DHURI,LJP,0,10th Pass,"Rs 4,20,000 ~ 4 Lacs+",Rs 0 ~
35,253,Amardeep Singh Brar,https://myneta.info/pb2012/candidate.php?candidate_id=253,RUPNAGAR,PPOP,0,Post Graduate,"Rs 25,76,78,500 ~ 25 Crore+","Rs 2,00,70,225 ~ 2 Crore+"
36,244,Amarinder Singh,https://myneta.info/pb2012/candidate.php?candidate_id=244,PATIALA,INC,6,Graduate,https://myneta.info/image_v2.php?myneta_folder=pb2012&candidate_id=244&col=ta,https://myneta.info/image_v2.php?myneta_folder=pb2012&candidate_id=244&col=lia
37,348,Amarjeet Kaur,https://myneta.info/pb2012/candidate.php?candidate_id=348,JAITU (SC),PPOP,0,Not Given,"Rs 2,05,000 ~ 2 Lacs+",Rs 0 ~
38,761,Amarjeet Kaur,https://myneta.info/pb2012/candidate.php?candidate_id=761,JALALABAD ,IND,0,Not Given,"Rs 25,53,600 ~ 25 Lacs+",Rs 0 ~
