sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,6850,Abdul Hasim,https://myneta.info/Tripura2023/candidate.php?candidate_id=6850,KADAMTALA-KURTI,AITC,0,12th Pass,"Rs 1,12,19,232 ~ 1 Crore+","Rs 4,47,000 ~ 4 Lacs+"
2,6950,Abhijit Malakar,https://myneta.info/Tripura2023/candidate.php?candidate_id=6950,RAJNAGAR (SC),Tipra Motha Party,0,12th Pass,"Rs 76,424 ~ 76 Thou+","Rs 9,333 ~ 9 Thou+"
3,6968,Abhijit Sarkar,https://myneta.info/Tripura2023/candidate.php?candidate_id=6968,TELIAMURA,Tipra Motha Party,0,12th Pass,"Rs 12,57,45,336 ~ 12 Crore+",Rs 0 ~
4,6983,Abhishek Debroy,https://myneta.info/Tripura2023/candidate.php?candidate_id=6983,MATARBARI,BJP,0,Graduate Professional,"Rs 56,24,268 ~ 56 Lacs+","Rs 50,27,395 ~ 50 Lacs+"
5,6987,Abu Khayer Miah,https://myneta.info/Tripura2023/candidate.php?candidate_id=6987,BOXANAGAR,Tipra Motha Party,0,12th Pass,"Rs 44,97,816 ~ 44 Lacs+","Rs 3,50,000 ~ 3 Lacs+"
6,6879,Amal Majumder,https://myneta.info/Tripura2023/candidate.php?candidate_id=6879,AMARPUR,Republican Party of India (A),0,8th Pass,"Rs 4,69,553 ~ 4 Lacs+",Rs 0 ~
7,6763,Amalendu Debbarma,https://myneta.info/Tripura2023/candidate.php?candidate_id=6763,AMBASSA (ST),CPI(M),0,12th Pass,"Rs 12,50,778 ~ 12 Lacs+","Rs 18,739 ~ 18 Thou+"
8,7016,Amit Kumar Debbarma,https://myneta.info/Tripura2023/candidate.php?candidate_id=7016,GOLAGHATI (ST),Republican Party of India (Athawale),0,10th Pass,"Rs 1,52,400 ~ 1 Lacs+",Rs 0 ~
9,7078,Amitabha Datta,https://myneta.info/Tripura2023/candidate.php?candidate_id=7078,DHARMANAGAR : BYE ELECTION ON 09-04-2026,CPI(M),1,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Tripura2023&candidate_id=7078&col=ta,https://myneta.info/image_v2.php?myneta_folder=Tripura2023&candidate_id=7078&col=lia
10,7015,Amiya Dayal Noatia,https://myneta.info/Tripura2023/candidate.php?candidate_id=7015,DHANPUR,Tipra Motha Party,2,10th Pass,"Rs 3,91,926 ~ 3 Lacs+","Rs 2,19,599 ~ 2 Lacs+"
