sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,2766,A Hasiv,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=2766,ARYA NAGAR,BSP,0,12th Pass,"Rs 3,94,24,827 ~ 3 Crore+","Rs 58,46,335 ~ 58 Lacs+"
2,4126,A Wahid,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=4126,GAINSARI,IND,0,10th Pass,"Rs 75,106 ~ 75 Thou+",Rs 0 ~
3,4093,Aan Shikhar Shrivastava,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=4093,GOSHAINGANJ,Satya Shikhar Party,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=4093&col=ta,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=4093&col=lia
4,5146,Aaptab Urf Aftab,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=5146,MUBARAKPUR,Islam Party Hind,0,Illiterate,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
5,69,Aashi Gaur,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=69,KHATAULI,Lok Dal,0,Literate,"Rs 34,68,543 ~ 34 Lacs+",Rs 0 ~
6,1749,Aashif Beg,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=1749,BARKHERA,IND,0,Not Given,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=1749&col=ta,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=1749&col=lia
7,484,Aatma Ram,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=484,PURQAZI (SC),IND,1,12th Pass,"Rs 23,26,259 ~ 23 Lacs+",Rs 0 ~
8,4110,Aatmaram,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=4110,TULSIPUR,Bharatiya Subhash Sena,0,Literate,"Rs 7,82,500 ~ 7 Lacs+",Rs 0 ~
9,5340,Abbas Ahmad,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=5340,MARIYAHU,Ittehad-E-Millait Council,1,Literate,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=5340&col=ta,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=5340&col=lia
10,4033,Abbas Ali Zaidi Urf Rushdi Miyan,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=4033,RUDAULI,SP,0,Graduate,"Rs 2,22,77,366 ~ 2 Crore+","Rs 16,75,000 ~ 16 Lacs+"
11,4583,Abbas Ansari,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=4583,GHOSI,BSP,0,12th Pass,"Rs 4,41,76,635 ~ 4 Crore+",Rs 0 ~
12,3719,Abbas Mehandi,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=3719,AYAH SHAH,Peace Party,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=3719&col=ta,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=3719&col=lia
13,2176,Abdul Aziz,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=2176,BILGRAM MALLANWAN,All India Majlis-E-Ittehadul Muslimeen,0,10th Pass,"Rs 75,80,000 ~ 75 Lacs+",Rs 0 ~
14,4287,Abdul Kalam,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=4287,GAURA,BSP,2,Graduate,"Rs 2,28,73,529 ~ 2 Crore+",Rs 0 ~
15,3329,Abdul Latif,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=3329,VISHWANATH GANJ,VANCHITSAMAJ INSAAF PARTY,0,5th Pass,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=3329&col=ta,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=3329&col=lia
16,3865,Abdul Mabood,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=3865,SULTANPUR,Apna Desh Party,0,10th Pass,"Rs 10,53,000 ~ 10 Lacs+",Rs 0 ~
17,2209,Abdul Mannan,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=2209,SANDILA,SP,0,Graduate,"Rs 2,54,22,000 ~ 2 Crore+","Rs 30,00,000 ~ 30 Lacs+"
18,2418,Abdul Maroof Khan,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=2418,LUCKNOW CENTRAL,INC,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=2418&col=ta,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=2418&col=lia
19,4105,Abdul Mashhood Khan Masood,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=4105,TULSIPUR,SP,0,12th Pass,"Rs 2,45,24,634 ~ 2 Crore+","Rs 3,06,500 ~ 3 Lacs+"
20,4131,Abdul Rahman,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=4131,TULSIPUR,IND,0,Literate,"Rs 15,08,900 ~ 15 Lacs+",Rs 0 ~
21,2175,Abdul Rauf,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=2175,BILGRAM MALLANWAN,RLD,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=2175&col=ta,https://myneta.info/image_v2.php?myneta_folder=uttarpradesh2017&candidate_id=2175&col=lia
22,1347,Abdul Rauk,https://www.myneta.info/uttarpradesh2017/candidate.php?candidate_id=1347,MORADABAD NAGAR,Peace Party,2,Literate,"Rs 23,89,047 ~ 23 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
