sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,897,A.rahim Ahmed,https://www.myneta.info/Assam2016/candidate.php?candidate_id=897,BARPETA,INC,1,Graduate,"Rs 12,62,080 ~ 12 Lacs+",Rs 0 ~
2,21,Abdul Ahad Choudhury,https://www.myneta.info/Assam2016/candidate.php?candidate_id=21,KARIMGANJ NORTH,IND,5,8th Pass,"Rs 4,33,87,624 ~ 4 Crore+","Rs 29,87,626 ~ 29 Lacs+"
3,1036,Abdul Ali,https://www.myneta.info/Assam2016/candidate.php?candidate_id=1036,BARHAMPUR,IND,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=1036&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=1036&col=lia
4,102,Abdul Aziz,https://www.myneta.info/Assam2016/candidate.php?candidate_id=102,BADARPUR,AIUDF,0,12th Pass,"Rs 2,34,57,881 ~ 2 Crore+","Rs 1,36,65,226 ~ 1 Crore+"
5,627,Abdul Batin Khandakar,https://www.myneta.info/Assam2016/candidate.php?candidate_id=627,ABHAYAPURI NORTH,AIUDF,0,Graduate Professional,"Rs 88,39,135 ~ 88 Lacs+","Rs 18,00,000 ~ 18 Lacs+"
6,844,Abdul Hai Nagori,https://www.myneta.info/Assam2016/candidate.php?candidate_id=844,ABHAYAPURI NORTH,INC,0,Graduate Professional,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=844&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=844&col=lia
7,889,Abdul Hakim Ahmed,https://www.myneta.info/Assam2016/candidate.php?candidate_id=889,SORBHOG,IND,0,10th Pass,"Rs 17,71,000 ~ 17 Lacs+",Rs 0 ~
8,635,Abdul Hamid,https://www.myneta.info/Assam2016/candidate.php?candidate_id=635,GOALPARA EAST,SUCI(C),0,Graduate,"Rs 14,000 ~ 14 Thou+",Rs 0 ~
9,5,Abdul Hamid,https://www.myneta.info/Assam2016/candidate.php?candidate_id=5,KARIMGANJ SOUTH,IND,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=5&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=5&col=lia
10,906,Abdul Khaleque,https://www.myneta.info/Assam2016/candidate.php?candidate_id=906,JANIA,INC,0,Post Graduate,"Rs 45,25,056 ~ 45 Lacs+",Rs 0 ~
11,1108,Abdul Sabur,https://www.myneta.info/Assam2016/candidate.php?candidate_id=1108,KALAIGAON,IND,0,Not Given,"Rs 90,000 ~ 90 Thou+",Rs 0 ~
12,777,Abdul Salam Shah,https://www.myneta.info/Assam2016/candidate.php?candidate_id=777,MANKACHAR,BJP,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=777&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=777&col=lia
13,984,Abdul Samad Choudhury,https://www.myneta.info/Assam2016/candidate.php?candidate_id=984,RANGIYA,AIUDF,1,10th Pass,"Rs 84,84,735 ~ 84 Lacs+","Rs 12,48,000 ~ 12 Lacs+"
14,882,Abdul Wahab Sheikh,https://www.myneta.info/Assam2016/candidate.php?candidate_id=882,JALESWAR,Bhartiya Rashtrawadi Party,0,12th Pass,"Rs 2,500 ~ 2 Thou+",Rs 0 ~
15,1020,Abdul Wahid,https://www.myneta.info/Assam2016/candidate.php?candidate_id=1020,JAMUNAMUKH,IND,0,Others,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=1020&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=1020&col=lia
16,1018,Abdur Rahim Ajmal,https://www.myneta.info/Assam2016/candidate.php?candidate_id=1018,JAMUNAMUKH,AIUDF,0,Post Graduate,"Rs 13,10,99,386 ~ 13 Crore+","Rs 1,49,56,567 ~ 1 Crore+"
17,899,Abdur Rahim Khan,https://www.myneta.info/Assam2016/candidate.php?candidate_id=899,BARPETA,AIUDF,2,Post Graduate,"Rs 75,46,485 ~ 75 Lacs+","Rs 5,35,722 ~ 5 Lacs+"
18,881,Abdur Rahim Zibran,https://www.myneta.info/Assam2016/candidate.php?candidate_id=881,JALESWAR,BJP,0,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=881&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=881&col=lia
19,876,Abdur Rashid Mandal,https://www.myneta.info/Assam2016/candidate.php?candidate_id=876,GOALPARA WEST,INC,0,Others,"Rs 28,11,000 ~ 28 Lacs+",Rs 0 ~
20,796,Abdur Razzaque Sheikh,https://www.myneta.info/Assam2016/candidate.php?candidate_id=796,GAURIPUR,IND,0,Post Graduate,"Rs 22,42,500 ~ 22 Lacs+",Rs 0 ~
21,681,Abdus Salam,https://www.myneta.info/Assam2016/candidate.php?candidate_id=681,JALESWAR,SUCI(C),0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=681&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=681&col=lia
22,800,Abdus Sobahan Ali Sarkar,https://www.myneta.info/Assam2016/candidate.php?candidate_id=800,GOLAKGANJ,INC,1,Graduate,"Rs 49,12,838 ~ 49 Lacs+",Rs 0 ~
23,267,Abdus Sukkur Beig,https://www.myneta.info/Assam2016/candidate.php?candidate_id=267,BADARPUR,IND,0,8th Pass,"Rs 90,000 ~ 90 Thou+",Rs 0 ~
24,783,Abedur Zaman,https://www.myneta.info/Assam2016/candidate.php?candidate_id=783,DHUBRI,INC,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=783&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=783&col=lia
25,379,Abhijit Hazarika,https://www.myneta.info/Assam2016/candidate.php?candidate_id=379,RANGAPARA,IND,0,Post Graduate,"Rs 3,39,70,426 ~ 3 Crore+",Rs 0 ~
26,1039,Abida Begum,https://www.myneta.info/Assam2016/candidate.php?candidate_id=1039,BARHAMPUR,Rashtriya Jankranti Party,0,Graduate Professional,"Rs 12,47,000 ~ 12 Lacs+","Rs 6,500 ~ 6 Thou+"
27,97,Abu Barkat Nizam Uddin Ahmed,https://www.myneta.info/Assam2016/candidate.php?candidate_id=97,KARIMGANJ SOUTH,IND,0,5th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=97&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=97&col=lia
28,1047,Abu Hanifa,https://www.myneta.info/Assam2016/candidate.php?candidate_id=1047,RUPOHIHAT,Jan Congress Party,0,Graduate,"Rs 2,74,000 ~ 2 Lacs+",Rs 0 ~
29,880,Abul Fazal Nasir Uddin Mollah,https://www.myneta.info/Assam2016/candidate.php?candidate_id=880,JALESWAR,INC,0,Post Graduate,"Rs 13,09,439 ~ 13 Lacs+",Rs 0 ~
30,276,Abul Hussain Barbhuiya,https://www.myneta.info/Assam2016/candidate.php?candidate_id=276,HAILAKANDI,IND,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=276&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=276&col=lia
31,937,Abul Kalam Azad,https://www.myneta.info/Assam2016/candidate.php?candidate_id=937,BHABANIPUR,AIUDF,0,10th Pass,"Rs 17,32,095 ~ 17 Lacs+","Rs 9,45,360 ~ 9 Lacs+"
32,866,Abul Kalam Rasheed Alam,https://www.myneta.info/Assam2016/candidate.php?candidate_id=866,GOALPARA EAST,INC,1,Graduate,"Rs 2,07,55,128 ~ 2 Crore+",Rs 0 ~
33,348,Abul Quasim,https://www.myneta.info/Assam2016/candidate.php?candidate_id=348,MAJBAT,IND,0,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=348&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=348&col=lia
34,278,Adhir Chanda,https://www.myneta.info/Assam2016/candidate.php?candidate_id=278,HAILAKANDI,IND,0,10th Pass,"Rs 1,86,000 ~ 1 Lacs+",Rs 0 ~
35,885,Aftab Uddin Mollah,https://www.myneta.info/Assam2016/candidate.php?candidate_id=885,JALESWAR,IND,0,Post Graduate,"Rs 50,08,497 ~ 50 Lacs+",Rs 0 ~
36,809,Afzalur Rahman,https://www.myneta.info/Assam2016/candidate.php?candidate_id=809,BILASIPARA WEST,RPI(A),0,Post Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=809&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=809&col=lia
37,1083,Ahmed Ali,https://www.myneta.info/Assam2016/candidate.php?candidate_id=1083,DALGAON,LJP,0,Graduate Professional,"Rs 29,31,363 ~ 29 Lacs+",Rs 0 ~
38,96,Ahmed Ali,https://www.myneta.info/Assam2016/candidate.php?candidate_id=96,KARIMGANJ SOUTH,IND,0,8th Pass,"Rs 61,000 ~ 61 Thou+",Rs 0 ~
39,291,Ahmed Hussain Laskar,https://www.myneta.info/Assam2016/candidate.php?candidate_id=291,ALGAPUR,IND,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=291&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=291&col=lia
40,293,Ahmed Karim Barbhuiya,https://www.myneta.info/Assam2016/candidate.php?candidate_id=293,ALGAPUR,IND,0,12th Pass,"Rs 40,000 ~ 40 Thou+",Rs 0 ~
41,826,Ajay Kumar Narzary,https://www.myneta.info/Assam2016/candidate.php?candidate_id=826,KOKRAJHAR EAST (ST),IND,0,Graduate,"Rs 1,32,83,328 ~ 1 Crore+",Rs 0 ~
42,834,Ajay Kumar Ray,https://www.myneta.info/Assam2016/candidate.php?candidate_id=834,BIJNI,Bharatiya Gana Parishad,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=834&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=834&col=lia
43,140,Ajit Hazarika,https://www.myneta.info/Assam2016/candidate.php?candidate_id=140,DERGAON (SC),NCP,0,Graduate Professional,"Rs 94,68,959 ~ 94 Lacs+","Rs 6,40,000 ~ 6 Lacs+"
44,284,Ajit Kumar Paul,https://www.myneta.info/Assam2016/candidate.php?candidate_id=284,HAILAKANDI,NCP,0,10th Pass,"Rs 1,33,44,000 ~ 1 Crore+","Rs 2,78,000 ~ 2 Lacs+"
45,228,Ajit Singh,https://www.myneta.info/Assam2016/candidate.php?candidate_id=228,UDHARBOND,INC,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=228&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2016&candidate_id=228&col=lia
