candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
86,Abdul Aziz,https://www.myneta.info/Assam2026/candidate.php?candidate_id=86,SAMAGURI,All India United Democratic Front,0,Graduate,"Rs 32,47,534 ~ 32 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
623,Abdul Goffur,https://www.myneta.info/Assam2026/candidate.php?candidate_id=623,RONGONADI,IND,1,10th Pass,"Rs 42,20,000 ~ 42 Lacs+",Rs 0 ~
227,Abdul Hai Nagari,https://www.myneta.info/Assam2026/candidate.php?candidate_id=227,BIJNI,IND,1,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=227&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=227&col=lia
646,Abdul Hannan,https://www.myneta.info/Assam2026/candidate.php?candidate_id=646,BINNAKANDI,IND,0,8th Pass,"Rs 18,20,000 ~ 18 Lacs+",Rs 0 ~
451,Abdul Khaleque,https://www.myneta.info/Assam2026/candidate.php?candidate_id=451,MANDIA,INC,0,Post Graduate,"Rs 1,45,37,542 ~ 1 Crore+","Rs 43,91,501 ~ 43 Lacs+"
602,Abdul Matlib Laskar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=602,SONAI,Vikas India Party,0,8th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=602&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=602&col=lia
561,Abdul Muktadir,https://www.myneta.info/Assam2026/candidate.php?candidate_id=561,KARIMGANJ NORTH,IND,0,Graduate,"Rs 5,17,901 ~ 5 Lacs+","Rs 2,71,000 ~ 2 Lacs+"
586,Abdul Odud Choudhury,https://www.myneta.info/Assam2026/candidate.php?candidate_id=586,KATIGORAH,IND,0,10th Pass,"Rs 9,28,000 ~ 9 Lacs+",Rs 0 ~
703,Abdul Rahman,https://www.myneta.info/Assam2026/candidate.php?candidate_id=703,CHENGA,IND,0,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=703&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=703&col=lia
440,Abdul Salam Shah,https://www.myneta.info/Assam2026/candidate.php?candidate_id=440,MANKACHAR,All India United Democratic Front,3,Graduate,"Rs 3,95,25,000 ~ 3 Crore+",Rs 0 ~
701,Abdur Rahim Ahmed,https://www.myneta.info/Assam2026/candidate.php?candidate_id=701,CHENGA,INC,0,Graduate,"Rs 88,55,535 ~ 88 Lacs+",Rs 0 ~
573,Abdur Rahim Choudhury,https://www.myneta.info/Assam2026/candidate.php?candidate_id=573,KARIMGANJ SOUTH,IND,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=573&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=573&col=lia
529,Abdur Rahim Zibran,https://www.myneta.info/Assam2026/candidate.php?candidate_id=529,GOALPARA EAST,Asom Gana Parishad,0,12th Pass,"Rs 4,21,72,308 ~ 4 Crore+",Rs 0 ~
142,Abdur Rashid Mandal,https://www.myneta.info/Assam2026/candidate.php?candidate_id=142,GOALPARA EAST,Raijor Dal,0,Others,"Rs 1,50,86,055 ~ 1 Crore+",Rs 0 ~
35,Abdus Sobahan Ali Sarkar,https://www.myneta.info/Assam2026/candidate.php?candidate_id=35,GAURIPUR,INC,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=35&col=ta,https://myneta.info/image_v2.php?myneta_folder=Assam2026&candidate_id=35&col=lia
14,Abdus Sobur Miah,https://www.myneta.info/Assam2026/candidate.php?candidate_id=14,BIRSING-JARUA,SUCI(C),0,Post Graduate,"Rs 71,60,000 ~ 71 Lacs+",Rs 0 ~
347,Abhijit Paul,https://www.myneta.info/Assam2026/candidate.php?candidate_id=347,SILCHAR,INC,1,Graduate,"Rs 55,37,673 ~ 55 Lacs+","Rs 4,89,364 ~ 4 Lacs+"
