sno,candidate_id,candidate_name,candidate_link,constituency,party,criminal_cases,education,assets,liabilities
1,690,Abdul Awal Bhuyan,https://www.myneta.info/Assam2021/candidate.php?candidate_id=690,NOWGONG,LJP,0,Graduate,"Rs 25,90,786 ~ 25 Lacs+",Rs 0 ~
2,915,Abdul Awal Paramanik,https://www.myneta.info/Assam2021/candidate.php?candidate_id=915,BIJNI,IND,0,Graduate,"Rs 11,44,250 ~ 11 Lacs+",Rs 0 ~
3,316,Abdul Aziz,https://www.myneta.info/Assam2021/candidate.php?candidate_id=316,BADARPUR,AIUDF,1,12th Pass,"Rs 11,44,250~ 11 Lacs+",Rs 0 ~
4,809,Abdul Aziz,https://www.myneta.info/Assam2021/candidate.php?candidate_id=809,BAGHBAR,Voters Party International,0,12th Pass,"Rs 8,10,926 ~ 8 Lacs+",Rs 0 ~
5,495,Abdul Basit,https://www.myneta.info/Assam2021/candidate.php?candidate_id=495,KARIMGANJ SOUTH,IND,0,Graduate,"Rs 35,000 ~ 35 Thou+",Rs 0 ~
6,537,Abdul Basit Laskar,https://www.myneta.info/Assam2021/candidate.php?candidate_id=537,KATLICHERA,IND,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2021&candidate_id=537&col=ta,Rs 0 ~
7,951,Abdul Baten Sikdar,https://www.myneta.info/Assam2021/candidate.php?candidate_id=951,GOALPARA WEST,National Peoples Party,0,Graduate,"Rs 3,91,412 ~ 3 Lacs+","Rs 2,07,111 ~ 2 Lacs+"
8,791,Abdul Batin Khandakar,https://www.myneta.info/Assam2021/candidate.php?candidate_id=791,ABHAYAPURI NORTH,INC,0,Graduate Professional,"Rs 1,15,89,135 ~ 1 Crore+","Rs 27,55,336 ~ 27 Lacs+"
9,250,Abdul Goffur,https://www.myneta.info/Assam2021/candidate.php?candidate_id=250,NAOBOICHA,IND,0,10th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2021&candidate_id=250&col=ta,Rs 0 ~
10,816,Abdul Goni,https://www.myneta.info/Assam2021/candidate.php?candidate_id=816,CHENGA,AITC,0,Graduate Professional,"Rs 8,75,768 ~ 8 Lacs+",Rs 0 ~
11,969,Abdul Hannan,https://www.myneta.info/Assam2021/candidate.php?candidate_id=969,SORBHOG,IND,0,10th Pass,"Rs 13,85,200 ~ 13 Lacs+",Rs 0 ~
12,514,Abdul Hasib,https://www.myneta.info/Assam2021/candidate.php?candidate_id=514,BADARPUR,IND,0,Literate,https://myneta.info/image_v2.php?myneta_folder=Assam2021&candidate_id=514&col=ta,Rs 0 ~
13,880,Abdul Jabbar,https://www.myneta.info/Assam2021/candidate.php?candidate_id=880,BILASIPARA EAST,IND,0,12th Pass,"Rs 52,38,500 ~ 52 Lacs+","Rs 7,32,000 ~ 7 Lacs+"
14,476,Abdul Jabbar Choudhury,https://www.myneta.info/Assam2021/candidate.php?candidate_id=476,KARIMGANJ NORTH,IND,0,12th Pass,"Rs 13,73,946 ~ 13 Lacs+",Rs 0 ~
15,173,Abdul Jalil,https://www.myneta.info/Assam2021/candidate.php?candidate_id=173,RANGAPARA,JD(U),0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2021&candidate_id=173&col=ta,Rs 0 ~
16,982,Abdul Jalil Talukdar,https://www.myneta.info/Assam2021/candidate.php?candidate_id=982,JANIA,AITC,0,12th Pass,"Rs 25,51,359 ~ 25 Lacs+",Rs 0 ~
17,447,Abdul Kadir,https://www.myneta.info/Assam2021/candidate.php?candidate_id=447,JAMUNAMUKH,IND,0,8th Pass,"Rs 3,03,500 ~ 3 Lacs+",Rs 0 ~
18,317,Abdul Malik,https://www.myneta.info/Assam2021/candidate.php?candidate_id=317,BADARPUR,IND,0,5th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2021&candidate_id=317&col=ta,"Rs 8,82,256 ~8 Lacs+"
19,442,Abdul Malik Borbhuyan,https://www.myneta.info/Assam2021/candidate.php?candidate_id=442,JAMUNAMUKH,IND,0,Literate,"Rs 10,15,000 ~ 10 Lacs+",Rs 0 ~
20,590,Abdul Matlib Laskar,https://www.myneta.info/Assam2021/candidate.php?candidate_id=590,SONAI,IND,0,8th Pass,"Rs 82,173 ~ 82 Thou+",Rs 0 ~
21,879,Abdul Monnaf Pramanik,https://www.myneta.info/Assam2021/candidate.php?candidate_id=879,BILASIPARA EAST,JD(U),0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2021&candidate_id=879&col=ta,Rs 0 ~
22,623,Abdul Odud Choudhury,https://www.myneta.info/Assam2021/candidate.php?candidate_id=623,KATIGORA,IND,0,10th Pass,"Rs 43,35,000 ~ 43 Lacs+",Rs 0 ~
23,896,Abdul Samad Choudhury,https://www.myneta.info/Assam2021/candidate.php?candidate_id=896,GOSSAIGAON,IND,1,10th Pass,"Rs 44,37,351 ~ 44 Lacs+","Rs 65,224 ~ 65 Thou+"
24,972,Abdur Rahim Ahmed,https://www.myneta.info/Assam2021/candidate.php?candidate_id=972,BARPETA,INC,0,Graduate,https://myneta.info/image_v2.php?myneta_folder=Assam2021&candidate_id=972&col=ta,Rs 0 ~
25,1001,Abdur Rahim Ali,https://www.myneta.info/Assam2021/candidate.php?candidate_id=1001,CHENGA,IND,0,Graduate,"Rs 1,65,000 ~ 1 Lacs+",Rs 0 ~
26,948,Abdur Rashid Mandal,https://www.myneta.info/Assam2021/candidate.php?candidate_id=948,GOALPARA WEST,INC,1,Others,"Rs 53,43,638 ~ 53 Lacs+",Rs 0 ~
27,862,Abdur Rezzak Hossain,https://www.myneta.info/Assam2021/candidate.php?candidate_id=862,GAURIPUR,IND,0,12th Pass,https://myneta.info/image_v2.php?myneta_folder=Assam2021&candidate_id=862&col=ta,Rs 0 ~
